year,GDP,Name,pop,pollution,temp,precip
2018,4.2925,VD_Lausanne_urban,793129.0,16.567716963064296,6.88,989.2
2018,3.8497,VS_Saxon_rural,341463.0,14.491553214774282,6.88,841.6
2018,2.7968,ZH_Zuerich_urban,1504346.0,14.740453296703295,6.88,984.1
2018,2.7968,ZH_Zuerich_urban,1504346.0,16.021948071625346,6.88,984.1
2019,1.6424,BE_Bern_urban,1034931.0,21.38983415977961,6.5,1006.2
2019,0.5328,BL_BaselBinningen_suburban,288132.0,14.339058356164385,6.5,1075.8
2019,3.7979,BS_Basel_urban,194766.0,17.75880301369863,6.5,1075.8
2019,1.286,GE_Meyrin_suburban,499480.0,15.773046280991734,6.5,1447.2
2019,1.8615,LU_Rigi_rural,409557.0,8.469421643835616,6.5,1290.9
2019,0.8724,NE_Chaumont_rural,176850.0,7.48053698630137,6.5,1185.8
2019,1.7494,TG_Taenikon_rural,276472.0,13.025633150684932,6.5,918.4
2019,1.5917,TI_Lugano_urban,353343.0,16.90678904109589,6.5,2211.2
2019,1.0491,VD_Lausanne_urban,799145.0,15.55802876712329,6.5,1109.2
2019,2.0558,VS_Saxon_rural,343955.0,13.1735301369863,6.5,903.9
2019,0.2586,ZH_Zuerich_urban,1520968.0,15.849363835616437,6.5,1025.6
2019,0.2586,ZH_Zuerich_urban,1520968.0,17.985479889807163,6.5,1025.6
2020,-2.359,BE_Bern_urban,1039426.0,18.70735506849315,6.87,1039.8
2020,-0.7904,BL_BaselBinningen_suburban,289468.0,12.564013698630136,6.87,1062.3
2020,2.0786,BS_Basel_urban,195844.0,15.23181270718232,6.87,1062.3
2020,-3.4743,GE_Meyrin_suburban,504128.0,14.475821643835616,6.87,1230.5
2020,-0.5226,LU_Rigi_rural,413120.0,6.92398,6.87,1319.5
2020,-7.0606,NE_Chaumont_rural,176496.0,6.510215702479338,6.87,1117.6
2020,0.8942,TG_Taenikon_rural,279547.0,10.930589589041096,6.87,749.3
2020,-5.8985,TI_Lugano_urban,351491.0,14.337193131868132,6.87,1939.1
2020,-3.194,VD_Lausanne_urban,805098.0,14.315685479452055,6.87,1125.4
2020,-5.1087,VS_Saxon_rural,345525.0,11.983022191780822,6.87,911.9
2020,-2.1201,ZH_Zuerich_urban,1539275.0,13.609656712328768,6.87,830.7
2020,-2.1201,ZH_Zuerich_urban,1539275.0,15.094037534246574,6.87,830.7
2021,4.5995,BE_Bern_urban,1043081.0,16.365754098360657,5.64,1197.9
2021,3.0066,BL_BaselBinningen_suburban,290969.0,11.76059480874317,5.64,1305.8
2021,8.2695,BS_Basel_urban,196735.0,-9.789163114754098,5.64,1305.8
2021,5.091,GE_Meyrin_suburban,506343.0,13.990400546448088,5.64,1420.7
2021,5.5665,LU_Rigi_rural,416347.0,6.893131967213115,5.64,1648.7
2021,15.6874,NE_Chaumont_rural,175894.0,6.657392076502733,5.64,1288.8
2021,8.2367,TG_Taenikon_rural,282909.0,9.898494535519124,5.64,1073.9
2021,12.895,TI_Lugano_urban,350986.0,15.311387158469946,5.64,1784.7
2021,8.4641,VD_Lausanne_urban,814762.0,13.17229781420765,5.64,1294.4
2021,6.4278,VS_Saxon_rural,348503.0,12.615127322404373,5.64,939.4
2021,0.619,ZH_Zuerich_urban,1553423.0,12.11129480874317,5.64,1129.9
2021,0.619,ZH_Zuerich_urban,1553423.0,11.162318579234974,5.64,1129.9
2022,2.6008,BE_Bern_urban,1047422.0,17.53072931506849,7.42,916.9
2022,2.0351,BL_BaselBinningen_suburban,292817.0,12.35377205479452,7.42,1085.7
2022,5.9185,BS_Basel_urban,196036.0,15.7527498630137,7.42,1085.7
2022,3.2934,GE_Meyrin_suburban,509448.0,13.89347808219178,7.42,1096.4
2022,2.543,LU_Rigi_rural,420326.0,7.617516712328767,7.42,1232.7
2022,5.1729,NE_Chaumont_rural,176166.0,-9.458359726027398,7.42,1012.8
2022,1.7447,TG_Taenikon_rural,285964.0,10.765081643835616,7.42,844.0
2022,4.2783,TI_Lugano_urban,352181.0,15.907936712328766,7.42,1481.3
2022,-1.3047,VD_Lausanne_urban,822968.0,2.740317808219178,7.42,940.0
2022,4.9676,VS_Saxon_rural,353209.0,13.60059178082192,7.42,719.7
2022,2.4925,ZH_Zuerich_urban,1564662.0,12.920220821917807,7.42,882.9
2022,2.4925,ZH_Zuerich_urban,1564662.0,8.85075397260274,7.42,882.9
2023,1.304,BE_Bern_urban,1051437.0,2.008858082191781,7.25,1135.2
2023,1.964,BL_BaselBinningen_suburban,294417.0,14.391921369863011,7.25,1160.9
2023,4.242,BS_Basel_urban,196786.0,-5.258433150684931,7.25,1160.9
2023,0.7742,GE_Meyrin_suburban,514114.0,12.310417808219178,7.25,1425.7
2023,1.5751,LU_Rigi_rural,424851.0,8.047050684931506,7.25,1454.6
2023,1.5256,NE_Chaumont_rural,176571.0,8.447359178082191,7.25,1196.9
2023,0.7221,TG_Taenikon_rural,289650.0,11.957428767123288,7.25,945.2
2023,0.901,TI_Lugano_urban,354023.0,17.085197534246575,7.25,1959.2
2023,1.5548,VD_Lausanne_urban,830431.0,14.920889863013697,7.25,1246.5
2023,0.5241,VS_Saxon_rural,357282.0,3.679125205479452,7.25,1106.2
2023,0.8925,ZH_Zuerich_urban,1579967.0,14.30338109589041,7.25,1059.7
2023,0.8925,ZH_Zuerich_urban,1579967.0,-43.21965698630137,7.25,1059.7
2024,0.8358,BE_Bern_urban,,10.146135890410958,7.17,1156.6
2024,1.2385,BL_BaselBinningen_suburban,,11.47857698630137,7.17,1386.5
2024,5.8304,BS_Basel_urban,,13.80298794520548,7.17,1386.5
2024,-0.0886,GE_Meyrin_suburban,,13.36931397260274,7.17,1391.6
2024,0.8716,LU_Rigi_rural,,6.9007526027397255,7.17,1673.7
2024,0.1989,NE_Chaumont_rural,,6.971371232876712,7.17,1332.8
2024,0.2777,TG_Taenikon_rural,,9.844514520547946,7.17,1028.0
2024,0.9049,TI_Lugano_urban,,13.974940821917809,7.17,2527.3
2024,0.9575,VD_Lausanne_urban,,12.587379452054796,7.17,1206.2
2024,0.4114,VS_Saxon_rural,,10.111029315068494,7.17,934.8
2024,0.3067,ZH_Zuerich_urban,,12.098688767123289,7.17,1172.4
2024,0.3067,ZH_Zuerich_urban,,13.052246027397262,7.17,1172.4
